INFLOWS,OUTFLOWS,debt_outflows,di_outflows,debt_inflows,di_inflows,equity_outflows,equity_inflows,portfolio_outflows,portfolio_inflows,reserve_flows,NETFLOWS,GPRC,GPRHC
0.04399999976158142,0.4280000030994415,0.309,0.0,-0.518,1.443,0.0,0.0,0.309,-0.518,1.4538,-0.3840000033378601,0.0643900676319995,0.053452555090188904
-1.782999992370605,-0.8080000281333923,0.585,0.0,0.326,0.18,0.0,0.0,0.585,0.326,-1.1372,-0.9749999642372131,0.04226036183536053,0.026054906969269098
-0.6970000267028809,-0.2099999934434891,0.084,0.0,0.021,0.44,0.0,0.0,0.084,0.021,0.5049,-0.487000048160553,0.012875728619595331,0.017599457254012397
-0.1140000000596046,0.6330000162124634,-0.012,0.0,0.011,0.982,0.0,0.0,-0.012,0.011,0.8576,-0.7470000386238098,0.022983336821198436,0.0216736650715272
10.61100006103516,8.220000267028809,7.604,0.0,7.869,0.837,0.0,0.0,7.604,7.869,1.8145,2.390999794006348,0.035506940136353166,0.0388383660465479
1.777300000190735,0.6650000214576721,-0.5642999999999999,0.2893,0.8628,0.5667000000000001,0.076,0.3214,-0.4883,1.1842,0.5407000000000001,1.112299919128418,0.06451243658860523,0.0640063981215159
1.620800018310547,0.0934000015258789,-0.4854,0.2948,0.5382,0.5167,0.075,-0.0272,-0.4104,0.511,1.0468,1.527400016784668,0.037741490329305336,0.05719286700089773
2.622400045394897,0.2337000072002411,-0.4978,0.288,0.4763,1.1247,0.079,0.5782,-0.4188,1.0545,0.3898,2.388700008392334,0.015317955985665335,0.015099328632156067
2.06030011177063,-0.4905000030994415,-0.359,0.2939,0.1575,2.223,0.065,0.3413,-0.294,0.4988,1.2864,2.550800085067749,0.022703605083127798,0.03272966171304383
3.316999912261963,3.294399976730347,-0.4465,0.1953,0.7319,0.4575,0.339,0.2536,-0.1075,0.9856,0.4728,0.02259993553161621,0.03950758402546247,0.042966948822140666
12.31110000610352,1.860999941825867,1.4328,0.1706,24.351,0.4495,0.334,0.4075,1.7668,24.7584,-0.3589,10.45009994506836,0.021832670395572965,0.023604309807221068
5.646399974822998,1.76199996471405,-0.3994,0.1568,0.9997,0.9495,0.342,3.4852,-0.0574,4.4849,1.9829,3.884399890899658,0.019154232926666733,0.0309843315432469
6.726600170135498,0.06400000303983688,-0.3946,0.1824,4.2039,0.9365,0.348,1.5249,-0.0466,5.728899999999999,2.1826,6.662600040435791,0.034082507714629166,0.03952015191316607
4.560400009155273,1.447499990463257,0.1604,0.2936,1.8065,0.6910000000000001,0.1977,1.0951,0.3581,2.9016,-0.5384,3.112900018692017,0.0219307231406371,0.018601162359118465
1.944000005722046,1.743299961090088,0.1861,0.2663,0.1649,0.9430000000000001,0.1961,-0.2437,0.3822,-0.0788,0.0582,0.200700044631958,0.045213562125961004,0.03860315059622127
5.754199981689453,1.429499983787537,0.1887,0.225,2.1787,0.836,0.1786,2.3034,0.3673,4.4822,-0.1468,4.324699878692627,0.15441485991080584,0.1650399590531982
5.867199897766113,1.105599999427795,0.1879,0.228,2.5765,1.165,0.1902,1.0654,0.3781,3.642,1.3114,4.761600017547607,0.03538458608090877,0.03246529959142207
2.580199956893921,5.39139986038208,1.2094,0.4977,-1.1046,0.9944,0.042,0.6372000000000001,1.2514,-0.4675,-5.9351,-2.811199903488159,0.0631916026274363,0.06205951670805613
